basin,region,stream_order,mouth_reachid,n_reaches,mean_iso,median_iso,q1,q3,min_iso,max_iso,sd_iso
Yukon,upper,3,11734,1,0.717612516378,0.717612516378,0.717612516378,0.717612516378,0.717612516378,0.717612516378,0.0
Yukon,upper,3,11739,1,0.717936974639,0.717936974639,0.717936974639,0.717936974639,0.717936974639,0.717936974639,0.0
Yukon,upper,4,11765,5,0.7186325606042001,0.718490320543,0.718312982601,0.718915080739,0.717998019579,0.719446399559,0.0005628401457604964
Yukon,upper,3,11767,1,0.717688767527,0.717688767527,0.717688767527,0.717688767527,0.717688767527,0.717688767527,0.0
Yukon,upper,3,11777,1,0.717875396621,0.717875396621,0.717875396621,0.717875396621,0.717875396621,0.717875396621,0.0
Yukon,upper,4,11947,3,0.7169392154163333,0.717052649742,0.7167795713295,0.717155576666,0.716506492917,0.71725850359,0.0003886264565827641
Yukon,upper,3,11783,1,0.71725850359,0.71725850359,0.71725850359,0.71725850359,0.71725850359,0.71725850359,0.0
Yukon,upper,4,11785,3,0.7185537402350001,0.718538741723,0.718492840045,0.718607141169,0.718446938367,0.718675540615,0.0001150367918073505
Yukon,middle,3,11793,1,0.735614559476,0.735614559476,0.735614559476,0.735614559476,0.735614559476,0.735614559476,0.0
Yukon,upper,3,11805,1,0.717998019579,0.717998019579,0.717998019579,0.717998019579,0.717998019579,0.717998019579,0.0
Yukon,upper,3,11806,1,0.717352620385,0.717352620385,0.717352620385,0.717352620385,0.717352620385,0.717352620385,0.0
Yukon,upper,3,11817,1,0.71814573912,0.71814573912,0.71814573912,0.71814573912,0.71814573912,0.71814573912,0.0
Yukon,middle,3,11818,1,0.715944939996,0.715944939996,0.715944939996,0.715944939996,0.715944939996,0.715944939996,0.0
Yukon,upper,4,11928,3,0.7176246860393333,0.717514215744,0.7173707583785001,0.7178233785525,0.717227301013,0.718132541361,0.00046262056431277073
Yukon,upper,3,11846,1,0.717227301013,0.717227301013,0.717227301013,0.717227301013,0.717227301013,0.717227301013,0.0
Yukon,upper,6,11939,93,0.7260610752816344,0.726316888677,0.72589160635,0.726728580901,0.721158383184,0.728145246597,0.0012460281185098846
Yukon,upper,3,11852,1,0.718675540615,0.718675540615,0.718675540615,0.718675540615,0.718675540615,0.718675540615,0.0
