focal_reach,stream_order,Year_2015,Year_2016,Year_2018,Year_2021
3408,3,0,0,0,0
3410,3,0,0,0,0
3414,3,0,0,0,0
3416,3,0,0,0,0
3417,3,0,0,0,0
3421,3,0,0,0,0
3426,3,0,0,0,0
3430,3,0,0,0,0
3436,3,0,0,0,0
3442,3,0,0,0,0
3451,3,0,0,0,0
3452,3,0,0,0,0
3454,3,0,0,0,0
3457,3,0,0,0,0
3458,3,0,0,0,0
3460,3,0,0,0,0
3470,3,0,0,0,0
3472,3,0,0,0,0
3482,3,0,0,0,0
3486,3,0,0,0,0
3488,3,0,0,0,0
3498,3,0,0,0,0
3499,3,0,0,0,0
3502,3,0,0,0,0
3507,3,0,0,0,0
3510,3,0,0,0,0
3512,3,0,0,0,0
3515,3,0,0,0,0
3520,3,0,0,0,0
3521,3,0,0,0,0
3525,3,0,0,0,0
3528,3,0,0,0,0
3529,3,0,0,0,0
3537,3,0,0,0,0
3545,3,0,0,0,0
3548,3,0,0,0,0
3552,3,0,0,0,0
3553,3,0,0,0,0
3555,3,0,0,0,0
3557,3,0,0,0,0
3561,3,0,0,0,0
3564,3,0,0,0,0
3574,3,0,0,0,0
3577,3,0,0,0,0
3578,3,0,0,0,0
3586,3,0,0,0,0
3591,3,0,0,0,0
3607,3,0,0,0,0
3609,3,0,0,0,0
3614,3,0,0,0,0
3615,3,0,0,0,0
3624,3,0,0,0,0
3627,3,0,0,0,0
3632,3,0,0,0,0
3633,3,0,0,0,0
3634,3,0,0,0,0
3649,3,0,0,0,0
3650,3,0,0,0,0
3653,3,0,0,0,0
3659,3,0,0,0,0
3667,3,0,0,0,0
3677,3,0,0,0,0
3679,3,0,0,0,0
3682,3,0,0,0,0
3686,3,0,0,0,0
3689,3,0,0,0,0
3692,3,0,0,0,0
3697,3,0,0,0,0
3701,3,0,0,0,0
3702,3,0,0,0,0
3704,3,0,0,0,0
3706,3,0,0,0,0
3708,3,0,0,0,0
3710,3,0,0,0,0
3714,3,0,0,0,0
3715,3,0,0,0,0
3719,3,0,0,0,0
3725,3,0,0,0,0
3733,3,0,0,0,0
3735,3,0,0,0,0
3742,3,0,0,0,0
3744,3,0,0,0,0
3745,3,0,0,0,0
3750,3,0,0,0,0
3751,3,0,0,0,0
3752,3,0,0,0,0
3755,3,0,0,0,0
3758,3,0,0,0,0
3776,3,0,0,0,0
3777,3,0,0,0,0
3785,3,0,0,0,0
3786,3,0,0,0,0
3788,3,0,0,0,0
3790,3,0,0,0,0
3791,3,0,0,0,0
3795,3,0,0,0,0
3796,3,0,0,0,0
3801,3,0,0,0,0
3819,3,0,0,0,0
3821,3,0,0,0,0
3824,3,0,0,0,0
3830,3,0,0,0,0
3833,3,0,0,0,0
3834,3,0,0,0,0
3842,3,0,0,0,0
3856,3,0,0,0,0
3859,3,0,0,0,0
3864,3,0,0,0,0
3865,3,0,0,0,0
3874,3,0,0,0,0
3876,3,0,0,0,0
3878,3,0,0,0,0
3883,3,0,0,0,0
3886,3,0,0,0,0
3896,3,0,0,0,0
3897,3,0,0,0,0
3908,3,0,0,0,0
3915,3,0,0,0,0
3916,3,0,0,0,0
3924,3,0,0,0,0
3927,3,0,0,0,0
3932,3,0,0,0,0
3936,3,0,0,0,0
3942,3,0,0,0,0
3951,3,0,0,0,0
3956,3,0,0,0,0
3957,3,0,0,0,0
3959,3,0,0,0,0
3972,3,0,0,0,0
3974,3,0,0,0,0
3982,3,0,0,0,0
3990,3,0,0,0,0
3991,3,0,0,0,0
3993,3,0,0,0,0
4004,3,0,0,0,0
4005,3,0,0,0,0
4007,3,0,0,0,0
4013,3,0,0,0,0
4016,3,0,0,0,0
4017,3,0,0,0,0
4019,3,0,0,0,0
4021,3,0,0,0,0
4023,3,0,0,0,0
4026,3,0,0,0,0
4032,3,0,0,0,0
4037,3,0,0,0,0
4041,3,0,0,0,0
4048,3,0,0,0,0
4049,3,0,0,0,0
4052,3,0,0,0,0
4055,3,0,0,0,0
4062,3,0,0,0,0
4063,3,0,0,0,0
4066,3,0,0,0,0
4073,3,0,0,0,0
4078,3,0,0,0,0
4079,3,0,0,0,0
4082,3,0,0,0,0
4096,3,0,0,0,0
4097,3,0,0,0,0
4100,3,0,0,0,0
4102,3,0,0,0,0
4106,3,0,0,0,0
4111,3,0,0,0,0
4113,3,0,0,0,0
4115,3,0,0,0,0
4124,3,0,0,0,0
4126,3,0,0,0,0
4131,3,0,0,0,0
4133,3,0,0,0,0
4134,3,0,0,0,0
4135,3,0,0,0,0
4136,3,0,0,0,0
4140,3,0,0,0,0
4144,3,0,0,0,0
4145,3,0,0,0,0
4147,3,0,0,0,0
4148,3,0,0,0,0
4157,3,0,0,0,0
4159,3,0,0,0,0
4162,3,0,0,0,0
4170,3,0,0,0,0
4184,3,0,0,0,0
4185,3,0,0,0,0
4193,3,0,0,0,0
4206,3,0,0,0,0
4207,3,0,0,0,0
4211,3,0,0,0,0
4219,3,0,0,0,0
4221,3,0,0,0,0
4226,3,0,0,0,0
4229,3,0,0,0,0
4231,3,0,0,0,0
4233,3,0,0,0,0
4235,3,0,0,0,0
4244,3,0,0,0,0
4246,3,0,0,0,0
4255,3,0,0,0,0
4260,3,0,0,0,0
4266,3,0,0,0,0
4267,3,0,0,0,0
4286,3,0,0,0,0
4288,3,0,0,0,0
4291,3,0,0,0,0
4297,3,0,0,0,0
4304,3,0,0,0,0
4305,3,0,0,0,0
4312,3,0,0,0,0
4313,3,0,0,0,0
4318,3,0,0,0,0
4320,3,0,0,0,0
4325,3,0,0,0,0
4326,3,0,0,0,0
4327,3,0,0,0,0
4328,3,0,0,0,0
4332,3,0,0,0,0
4345,3,0,0,0,0
4347,3,0,0,0,0
4350,3,0,0,0,0
4352,3,0,0,0,0
4355,3,0,0,0,0
4358,3,0,0,0,0
4361,3,0,0,0,0
4362,3,0,0,0,0
4363,3,0,0,0,0
4369,3,0,0,0,0
4370,3,0,0,0,0
4371,3,0,0,0,0
4372,3,0,0,0,0
4375,3,0,0,0,0
4377,3,0,0,0,0
4378,3,0,0,0,0
4379,3,0,0,0,0
4387,3,0,0,0,0
4388,3,0,0,0,0
4390,3,0,0,0,0
4391,3,0,0,0,0
4393,3,0,0,0,0
4398,3,0,0,0,0
4401,3,0,0,0,0
4405,3,0,0,0,0
4414,3,0,0,0,0
4419,3,0,0,0,0
4423,3,0,0,0,0
4434,3,0,0,0,0
4438,3,0,0,0,0
4442,3,0,0,0,0
4451,3,0,0,0,0
4456,3,0,0,0,0
4460,3,0,0,0,0
4463,3,0,0,0,0
4467,3,0,0,0,0
4469,3,0,0,0,0
4473,3,0,0,0,0
4476,3,0,0,0,0
4479,3,0,0,0,0
4488,3,0,0,0,0
4489,3,0,0,0,0
4496,3,0,0,0,0
4500,3,0,0,0,0
4502,3,0,0,0,0
4505,3,0,0,0,0
4507,3,0,0,0,0
4510,3,0,0,0,0
4511,3,0,0,0,0
4514,3,0,0,0,0
4529,3,0,0,0,0
4534,3,0,0,0,0
4535,3,0,0,0,0
4540,3,0,0,0,0
4542,3,0,0,0,0
4546,3,0,0,0,0
4548,3,0,0,0,0
4555,3,0,0,0,0
4558,3,0,0,0,0
4560,3,0,0,0,0
4565,3,0,0,0,0
4566,3,0,0,0,0
4572,3,0,0,0,0
4574,3,0,0,0,0
4577,3,0,0,0,0
4581,3,0,0,0,0
4584,3,0,0,0,0
4585,3,0,0,0,0
4587,3,0,0,0,0
4591,3,0,0,0,0
4593,3,0,0,0,0
4594,3,0,0,0,0
4598,3,0,0,0,0
4600,3,0,0,0,0
4602,3,0,0,0,0
4612,3,0,0,0,0
4615,3,0,0,0,0
4618,3,0,0,0,0
4619,3,0,0,0,0
4621,3,0,0,0,0
4629,3,0,0,0,0
4639,3,0,0,0,0
4641,3,0,0,0,0
4642,3,0,0,0,0
4643,3,0,0,0,0
4644,3,0,0,0,0
4652,3,0,0,0,0
4653,3,0,0,0,0
4661,3,0,0,0,0
4664,3,0,0,0,0
4667,3,0,0,0,0
4668,3,0,0,0,0
4675,3,0,0,0,0
4680,3,0,0,0,0
4684,3,0,0,0,0
4686,3,0,0,0,0
4692,3,0,0,0,0
4694,3,0,0,0,0
4699,3,0,0,0,0
4703,3,0,0,0,0
4705,3,0,0,0,0
4709,3,0,0,0,0
4712,3,0,0,0,0
4714,3,0,0,0,0
4722,3,0,0,0,0
4726,3,0,0,0,0
4729,3,0,0,0,0
4730,3,0,0,0,0
4738,3,0,0,0,0
4742,3,0,0,0,0
4747,3,0,0,0,0
4748,3,0,0,0,0
4751,3,0,0,0,0
4757,3,0,0,0,0
4761,3,0,0,0,0
4767,3,0,0,0,0
4776,3,0,0,0,0
4777,3,0,0,0,0
4780,3,0,0,0,0
4781,3,0,0,0,0
4785,3,0,0,0,0
4786,3,0,0,0,0
4790,3,0,0,0,0
4791,3,0,0,0,0
4799,3,0,0,0,0
4801,3,0,0,0,0
4802,3,0,0,0,0
4808,3,0,0,0,0
4813,3,0,0,0,0
4816,3,0,0,0,0
4818,3,0,0,0,0
4820,3,0,0,0,0
4821,3,0,0,0,0
4822,3,0,0,0,0
4824,3,0,0,0,0
4828,3,0,0,0,0
4829,3,0,0,0,0
4834,3,0,0,0,0
4844,3,0,0,0,0
4846,3,0,0,0,0
4848,3,0,0,0,0
4850,3,0,0,0,0
