"basin","reachid","stream_order","observed_cv","n_years"
"Yukon",695,4,0.302372302875947,4
"Yukon",698,6,0.321917120568529,4
"Yukon",702,4,0.25975907586707,4
"Yukon",704,4,0.309982567583493,4
"Yukon",713,4,0.276498157142061,4
"Yukon",721,5,0.269947115104732,4
"Yukon",722,5,0.257282308580837,4
"Yukon",723,4,0.291749258190373,4
"Yukon",735,6,0.253851864610281,4
"Yukon",738,4,0.269094977371331,4
"Yukon",740,4,0.259125986456,4
"Yukon",743,5,0.300534998028907,4
"Yukon",748,4,0.274694853735431,4
"Yukon",755,4,0.282656744536613,4
"Yukon",772,5,0.291546525817508,4
"Yukon",783,4,0.271734779760695,4
"Yukon",791,4,0.25733060452331,4
"Yukon",795,4,0.285057502127802,4
"Yukon",803,5,0.303374837621568,4
"Yukon",806,5,0.287849917719832,4
"Yukon",819,5,0.305133690863479,4
"Yukon",826,4,0.294712807689158,4
"Yukon",829,4,0.32079754929214,4
"Yukon",832,4,0.257124750339397,4
"Yukon",840,4,0.251652187215185,4
"Yukon",846,4,0.288414384478654,4
"Yukon",852,4,0.258395974793672,4
"Yukon",862,4,0.269790751987517,4
"Yukon",871,4,0.273967905814877,4
"Yukon",876,4,0.274286064107178,4
"Yukon",881,4,0.2562435324404,4
"Yukon",884,4,0.37137021585796,4
"Yukon",889,4,0.30758191231268,4
"Yukon",896,4,0.287895822072293,4
"Yukon",911,4,0.287355934797379,4
"Yukon",918,4,0.277215344486471,4
"Yukon",922,4,0.261313302760542,4
"Yukon",924,4,0.41490499542729,4
"Yukon",927,4,0.458122557863374,4
"Yukon",963,7,0.261677113987785,4
"Yukon",988,5,0.266234223559116,4
"Yukon",997,4,0.372549003732793,4
"Yukon",1005,4,0.278280294177616,4
"Yukon",1013,4,0.458640577357746,4
"Yukon",1018,4,0.301689567105425,4
"Yukon",1020,4,0.287033217928676,4
"Yukon",1033,5,0.259839012161345,4
"Yukon",1034,4,0.464312718303075,4
"Yukon",1050,5,0.273616838768326,4
"Yukon",1052,4,0.289275482726656,4
"Yukon",1055,4,0.459477591315094,4
"Yukon",1079,4,0.277743639453973,4
"Yukon",1082,4,0.465542045313143,4
"Yukon",1085,4,0.335521691118963,4
