"basin","reachid","stream_order","year_earlier","year_later","upstream_length_km","length_bin","mean_catchment_share","pct_change"
"Yukon",12874,4,2016,2018,16.8704688328727,4,3.75980776159518e-05,-45.404757975339
"Yukon",12875,4,2016,2018,3.57935942507935,2,2.32963863258555e-05,-35.0794441080575
"Yukon",12876,5,2016,2018,164.932256249518,6,0.000468527836104235,-26.6443576188016
"Yukon",12879,6,2016,2018,690.408628486067,8,0.00500931536135038,17.2150269722391
"Yukon",12881,8,2016,2018,15535.9152536171,12,0.0895323090489412,-20.9935196877918
"Yukon",12885,5,2016,2018,964.967437401985,8,0.00224026224964341,-48.3820845544908
"Yukon",12890,5,2016,2018,116.707073563551,6,0.000659727672798943,16.3460288490715
"Yukon",12892,7,2016,2018,2677.09095902328,10,0.00791543445297769,-20.487077302028
"Yukon",12894,4,2016,2018,50.4217171358736,5,6.53335636134884e-05,-16.3160298643757
"Yukon",12897,7,2016,2018,2661.04762089929,10,0.00787104143728925,-20.3916291552824
"Yukon",12902,9,2016,2018,57546.6929845329,13,0.44603773054142,21.8029770566079
"Yukon",12904,4,2016,2018,43.5941801178943,5,9.18904060973022e-05,-27.759238538617
"Yukon",12908,4,2016,2018,164.61288694614,6,0.000200907214879472,-72.7009346521381
"Yukon",12910,5,2016,2018,167.640376702865,6,0.00120634206326886,22.2946330157062
"Yukon",12911,4,2016,2018,23.542662283088,4,0.000174371660327701,6.40758019528928
"Yukon",12915,5,2016,2018,95.5691864284504,6,0.000517069775350618,16.0850567162877
"Yukon",12916,6,2016,2018,683.5498111749,8,0.00493015535907974,17.1356076317891
"Yukon",12917,4,2016,2018,62.1979127715202,5,0.000146592162677847,-26.4518243611984
"Yukon",12918,5,2016,2018,110.864025855352,6,0.000587674524815406,16.0949074321645
"Yukon",12920,6,2016,2018,377.261120579604,7,0.000741738941534254,-26.2553033673058
"Yukon",12922,4,2016,2018,14.5957163574143,4,0.000171793181441873,43.3752836383963
"Yukon",12924,5,2016,2018,91.5429005493177,6,0.000444025585368894,15.8177938041583
"Yukon",12925,4,2016,2018,35.1028466064265,5,2.87463677996936e-05,-27.2957144610794
"Yukon",12927,4,2016,2018,78.772873255317,6,0.000103956058921865,16.1433052443217
"Yukon",12931,4,2016,2018,58.8527049418783,5,0.000114229785122628,-27.196780536866
"Yukon",12943,4,2016,2018,13.7604229475661,4,0.000104484577237037,16.2025539287223
"Yukon",12944,8,2016,2018,19623.3696796749,12,0.0598096764173843,-35.7302591079803
"Yukon",12945,4,2016,2018,51.4697925826677,5,0.000181106474291297,-75.3228879891837
"Yukon",12950,6,2016,2018,282.340259388276,7,0.000730592290428473,-26.8223345237355
"Yukon",12951,5,2016,2018,204.507456338155,7,0.000579920065009464,-59.1309909960672
