"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,15047,0.293685172756148,0.244254784482295,1.20237224166815,20.2372241668152
"Kuskokwim",3,15083,0.303470641030314,0.244254784482295,1.24243478658373,24.2434786583727
"Kuskokwim",3,15100,0.320254032522169,0.244254784482295,1.31114742829279,31.1147428292786
"Kuskokwim",3,15115,0.289098139177515,0.244254784482295,1.18359253346978,18.3592533469783
"Kuskokwim",3,15143,0.321289270813473,0.244254784482295,1.31538578249124,31.5385782491242
"Kuskokwim",3,15253,0.293388834516563,0.244254784482295,1.20115900754374,20.1159007543739
"Kuskokwim",3,15287,0.292668103552749,0.244254784482295,1.19820827327116,19.8208273271156
"Kuskokwim",3,15305,0.209676475607526,0.244254784482295,0.858433442980212,-14.1566557019788
"Kuskokwim",3,15354,0.30604765044504,0.244254784482295,1.25298528376309,25.2985283763087
"Kuskokwim",3,15401,0.302568114280373,0.244254784482295,1.23873976479796,23.8739764797955
"Kuskokwim",3,15408,0.200249569745371,0.244254784482295,0.819838883278399,-18.0161116721601
"Kuskokwim",3,15429,0.303510246934464,0.244254784482295,1.24259693654625,24.259693654625
"Kuskokwim",3,15442,0.342578288732517,0.244254784482295,1.40254484455083,40.254484455083
"Kuskokwim",3,15450,0.328772938472932,0.244254784482295,1.34602455861725,34.602455861725
"Kuskokwim",3,15451,0.284867403385767,0.244254784482295,1.16627153891602,16.6271538916021
"Kuskokwim",3,15465,0.290578005145428,0.244254784482295,1.18965123144391,18.9651231443907
"Kuskokwim",3,15503,0.275226413810386,0.244254784482295,1.12680050216308,12.6800502163084
"Kuskokwim",3,15509,0.291637108215834,0.244254784482295,1.19398729009124,19.3987290091238
"Kuskokwim",3,15565,0.383777667019769,0.244254784482295,1.57121862662055,57.1218626620547
"Kuskokwim",3,15574,0.300884460729292,0.244254784482295,1.23184674301069,23.1846743010687
"Kuskokwim",3,15599,0.179753545400388,0.244254784482295,0.735926404804645,-26.4073595195355
"Kuskokwim",3,15600,0.327244606952908,0.244254784482295,1.33976743852332,33.9767438523315
"Kuskokwim",3,15615,0.204243128231287,0.244254784482295,0.836188853635708,-16.3811146364292
"Kuskokwim",3,15636,0.321021695489941,0.244254784482295,1.31429030620774,31.4290306207742
"Kuskokwim",3,15668,0.276505222566329,0.244254784482295,1.13203605469752,13.2036054697516
"Kuskokwim",3,15683,0.241129139277935,0.244254784482295,0.987203340925398,-1.27966590746016
"Kuskokwim",3,15700,0.287781530812927,0.244254784482295,1.17820222610127,17.8202226101274
