year_2015,year_2016,year_2017,sd,mean,cv,mean_cv,change_2016_2017,change_2015_2016
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.94355611332388e-5,4.87965549632196e-5,1.72775355323317e-5,1.6186696646217855e-5,3.042408706875199e-5,0.5320355746300407,0.08869794917756407,-3.15190194308879e-5,9.3609938299808e-6
9.97487722781924e-5,5.4896124333622e-5,4.75132227139121e-5,2.8269005118233508e-5,5.760678111099e-5,0.4907235671399188,0.0818352668409123,-7.3829016197099e-6,-4.48526479445704e-5
1.1366720561933e-4,6.30288834941586e-5,5.39922985385365e-5,3.2163628709082086e-5,6.57130040902768e-5,0.48945606968288285,0.08163077245055571,-9.0365849556221e-6,-5.06383221251714e-5
1.85579111215242e-5,2.03318979013415e-5,8.63876776616583e-6,6.301662827609737e-6,1.3457559904160318e-5,0.4682619191359957,0.07805486782258608,-1.1693130135175671e-5,1.7739867798173003e-6
1.6470146120352e-4,9.14935405560367e-5,6.91101421293267e-5,4.999686065644736e-5,9.382550113633268e-5,0.5328707020045613,0.0888899715850405,-2.2383398426710006e-5,-7.320792064748329e-5
2.55171277920957e-5,3.04978468520122e-5,2.59163032984975e-5,2.767593562750823e-6,2.1174717876339056e-5,0.13070273610792107,0.02180143494955046,-4.5815435535147004e-6,4.980719059916502e-6
2.55171277920957e-5,4.26969855928172e-5,4.31938388308292e-5,1.0065290940819157e-5,3.036831078914031e-5,0.33144059314680413,0.0552654057834583,4.968532380119993e-7,1.71798578007215e-5
0,0,0,0,0,NA,0,0,0
6.95921667057156e-6,6.09956937040245e-6,1.72775355323317e-5,6.220311154206549e-6,9.139158181878064e-6,0.6806218943163426,0.11344459835120865,1.1177966161929251e-5,-8.596473001691095e-7
4.40750389136199e-5,5.08297447533537e-5,3.02356871815804e-5,1.0498165828800378e-5,3.3909659169338596e-5,0.3095921954383107,0.05162695728902623,-2.0594057571773296e-5,6.754705839733799e-6
3.01566055724768e-5,2.84646570618781e-5,1.51178435907902e-5,8.237763466058337e-6,2.049421742280086e-5,0.4019555026723492,0.06700966229324387,-1.3346813471087898e-5,-1.6919485105987022e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
1.3222511674086e-4,8.1327591605366e-5,7.12698340708681e-5,3.267838999736576e-5,7.937523310361497e-5,0.4116950428946519,0.06868198651002833,-1.0057757534497901e-5,-5.0897525135494006e-5
0,0,0,0,0,NA,0,0,0
2.78368666822862e-5,3.25310366421464e-5,2.59163032984975e-5,3.40290298937991e-6,2.24217774030775e-5,0.15176776257322244,0.02531331191003964,-6.6147333436489e-6,4.694169959860201e-6
1.6702120009371e-4,9.75931099264392e-5,7.34295260124096e-5,4.858590321822676e-5,9.66574348126964e-5,0.5026607969927709,0.08385734736113906,-2.41635839140296e-5,-6.942809016727079e-5
0,0,0,0,0,NA,0,0,0
4.40750389136199e-5,4.26969855928172e-5,2.8075995240039e-5,8.866056886802963e-6,3.092851915831977e-5,0.2866628318484493,0.047802912407373485,-1.4620990352778198e-5,-1.3780533208027014e-6
1.7630015565448e-4,1.1995819761791e-4,8.63876776616583e-5,4.543429274666394e-5,1.0702008092017806e-4,0.42453988406672516,0.07084583074522101,-3.35705199562517e-5,-5.6341958036570006e-5
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.24763444626673e-5,4.0663795802683e-5,2.3756611356956e-5,8.45498857442354e-6,2.633793504918246e-5,0.3210194177575051,0.05352518457212517,-1.6907184445727e-5,8.187451340015703e-6
2.55171277920957e-5,4.26969855928172e-5,7.12698340708681e-5,2.311156029650633e-5,4.0648876938071836e-5,0.568565776902436,0.09479483688118773,2.8572848478050904e-5,1.71798578007215e-5
0,0,0,0,0,NA,0,0,0
5.10342555841914e-5,5.4896124333622e-5,4.10341468892877e-5,7.153910618383838e-6,3.852960935637123e-5,0.18567306385630072,0.030977618650513763,-1.3861977444334301e-5,3.861868749430605e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
3.71158222430483e-5,5.89625039138903e-5,4.75132227139121e-5,1.0927560543375306e-5,3.86297773535565e-5,0.28287920076166956,0.04717872494140622,-1.1449281199978198e-5,2.1846681670842e-5
2.55171277920957e-5,2.23650876914756e-5,2.8075995240039e-5,2.8605834032093135e-6,1.97046985317049e-5,0.14517265507039495,0.024211863093842247,5.710907548563401e-6,-3.1520401006201e-6
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
0,0,0,0,0,NA,0,0,0
