tributary_group_id,year,trib_total_assignment_rescale,trib_total_assignment_individuals,n_reaches,mean_str_order,min_str_order,max_str_order,stream_order
3_13434_3,2017,0.004896695691164217,648.792592296494,12,3,3,3,3
3_13436_4,2017,4.662687217658577e-4,61.77874055908908,1,4,4,4,4
3_13437_3,2017,0,0,3,3,3,3,3
3_13439_4,2017,0.014186944067357314,1879.7133411485752,27,4,4,4,4
3_13449_4,2017,0.013481285550645181,1786.216410318284,26,4,4,4,4
3_13468_4,2017,0.004672193199326773,619.046910138,6,4,4,4,4
3_13474_4,2017,4.662687217658577e-4,61.77874055908908,1,4,4,4,4
3_13487_3,2017,0,0,3,3,3,3,3
3_13501_4,2017,0.005545811371619528,734.7978234941011,7,4,4,4,4
3_13507_3,2017,5.443504277330322e-4,72.12425427291583,5,3,3,3,3
3_13515_4,2017,6.094673278927074e-4,80.75198307647216,1,4,4,4,4
3_13524_3,2017,0,0,1,3,3,3,3
3_13535_4,2017,0.012800645109573655,1696.034274438071,25,4,4,4,4
3_13554_3,2017,0.0015427114294862473,204.4030935612098,7,3,3,3,3
3_13558_4,2017,0.012138813893337012,1608.3442856115807,24,4,4,4,4
3_13563_3,2017,0.004157391959609989,550.8378050804853,9,3,3,3,3
3_13568_3,2017,0,0,3,3,3,3,3
3_13570_4,2017,0.011482032666136448,1521.323400132415,23,4,4,4,4
3_13614_4,2017,0.010828435765273267,1434.7244251556467,22,4,4,4,4
3_13631_4,2017,0.010181306562394155,1348.9823942909761,21,4,4,4,4
3_13635_4,2017,0.005085636890847165,673.826545489686,8,4,4,4,4
3_13639_4,2017,0.005545811371619528,734.7978234941011,8,4,4,4,4
3_13649_4,2017,0.00642073238576432,850.7213581842295,9,4,4,4,4
3_13664_4,2017,0.0095381135705732,1263.7618956466667,20,4,4,4,4
3_13678_4,2017,0.008891592149967627,1178.1003935021108,19,4,4,4,4
3_13681_4,2017,0.00642073238576432,850.7213581842295,10,4,4,4,4
3_13689_4,2017,0.008263882818934455,1094.9314179775397,18,4,4,4,4
3_13723_4,2017,0.004407115910228673,583.9252296416583,7,4,4,4,4
3_13742_4,2017,0.010917813872923132,1446.566666906823,17,4,4,4,4
3_13748_4,2017,0.0076408952433763035,1012.3880561663867,17,4,4,4,4
3_13753_4,2017,0.010213027175015973,1353.1852485809163,16,4,4,4,4
3_13770_4,2017,0.0030657574229449726,406.20059551051713,5,4,4,4,4
3_13771_4,2017,0.003733990385913801,494.738790172035,6,4,4,4,4
3_13785_4,2017,0.0070255169034240585,930.8528876360739,16,4,4,4,4
3_13796_3,2017,7.640140672904287e-4,101.22880785971265,2,3,3,3,3
3_13799_4,2017,0.006412831243475985,849.6744884355942,15,4,4,4,4
3_13800_4,2017,0.005826839299275606,772.0328997968209,14,4,4,4,4
3_13801_4,2017,0.009494688817969428,1258.0082896256774,15,4,4,4,4
3_13834_4,2017,0.0052443693618292805,694.8579629649323,13,4,4,4,4
3_13859_4,2017,0.002398708434688111,317.8192727624359,4,4,4,4,4
3_13866_4,2017,0.00642073238576432,850.7213581842295,11,4,4,4,4
3_13869_3,2017,6.2245389235162e-4,82.47265092102025,1,3,3,3,3
3_13872_4,2017,0.008768618906472288,1161.8069306319521,14,4,4,4,4
3_13878_4,2017,0.008041458146753245,1065.4610386122179,13,4,4,4,4
3_13882_3,2017,0.0028470500026873333,377.22273715606093,6,3,3,3,3
3_13884_3,2017,2.829721443455264e-4,37.492677237204866,1,3,3,3,3
3_13890_4,2017,0.004667915171261255,618.4800885314312,12,4,4,4,4
3_13904_4,2017,0.004110972579956715,544.6874229539449,11,4,4,4,4
3_13906_4,2017,0.0035644504102693535,472.2754215590482,10,4,4,4,4
3_13908_3,2017,3.5314525873828223e-4,46.790334201787445,3,3,3,3,3
3_13910_4,2017,0.00642073238576432,850.7213581842295,12,4,4,4,4
3_13916_4,2017,0.007313231574543953,968.9739307007757,12,4,4,4,4
3_13924_4,2017,0.003021107012324705,400.28459470497415,9,4,4,4,4
3_13927_4,2017,0.00642073238576432,850.7213581842295,13,4,4,4,4
3_13937_4,2017,0.007295848972198621,966.6708054204287,14,4,4,4,4
3_13939_4,2017,2.930027024119225e-4,38.82168605877008,1,4,4,4,4
3_13942_4,2017,0.003021107012324705,400.28459470497415,8,4,4,4,4
