tributary_group_id,stream_order,n_years,mean_individuals,sd_individuals,min_individuals,max_individuals,cv_individuals,mean_rescale,sd_rescale,cv_rescale
3_5989_4,4,5,1871.554959632017,517.9776704643779,1553.3593282798333,2791.25537158838,0.27676326992086947,0.012772055429034847,0.0014425297214214034,0.1129442108544319
3_6036_4,4,5,1113.8712139672411,298.71001201449116,859.4371564361306,1629.2979342141205,0.2681728446420523,0.007577105539627318,4.774941351670191e-4,0.06301801296943592
3_6039_3,3,5,79.84952924559678,19.46420106892381,69.14436750419978,114.47247833078262,0.24376099963040349,5.455679498519121e-4,2.8556123672338577e-5,0.05234201107321241
3_6050_4,4,5,1072.9165493424675,261.4145857421158,791.3587632552826,1346.3020059157213,0.24364857257754355,0.007370862336990085,0.001239613015416622,0.16817747486555581
3_6118_4,4,5,1241.591974353812,335.06223870607914,965.6924588840565,1822.5397352859063,0.2698650165489856,0.008444211459767141,5.238679070797966e-4,0.062038700662079685
3_6155_4,4,5,46.11564873044746,10.5250581249211,37.62322727352557,64.21738315446075,0.22823181316263305,3.169555094549809e-4,3.680019630519152e-5,0.1161052425574526
3_6160_4,4,5,241.75436142024552,56.62820571790276,190.44076714555484,325.378294983744,0.23423861056829098,0.00165336371687341,1.439885846856268e-4,0.08708826933611202
3_6163_4,4,5,1202.7388183372257,292.52136387475497,885.5544240806702,1506.4962014495857,0.24321270704404704,0.00826310913331737,0.0013875971353943112,0.16792675892412376
3_6190_4,4,5,1137.3964860236986,276.8755022692921,838.1651863426823,1425.9591583234212,0.24342918733399638,0.00781402763698298,0.0013132640653155,0.16806493735701136
3_6191_4,4,5,324.9640294960763,76.17990980164248,255.83059695663857,437.2326654174683,0.23442566834173964,0.002222429319236919,1.9517561228951552e-4,0.08782084118496507
3_6225_4,4,5,1269.301553393019,308.42770682050565,933.7889052922102,1588.2466464050322,0.24299009640068242,0.008720546250921784,0.0014627379903742617,0.16773467490292213
3_6275_4,4,5,95.26814781510551,21.844798636772502,77.88139409635949,132.7808561110259,0.22929803022064044,6.5486278598432e-4,7.805338438204246e-5,0.11919044119253307
3_6288_4,4,5,408.04756954817583,95.69400955658544,321.1699076263524,548.9613768063733,0.2345167982805186,0.0027906260617035464,2.4588623082555416e-4,0.08811149376117133
3_6342_4,4,5,491.12401539774066,115.20777002044757,386.5122414996787,660.6887124936727,0.2345797933076957,0.003358770968180425,2.965481041957344e-4,0.08829065959099494
3_6349_3,3,5,201.80018684568515,51.219781672267054,176.51252563498298,293.31174067152375,0.25381434216131016,0.0013776486365869374,9.023087935560389e-5,0.06549629343745211
3_6379_3,3,5,94.76387412402394,21.86515531011383,74.70628949512118,127.47838085142367,0.2307330247125335,6.483660321002623e-4,5.3234485740879016e-5,0.08210560563827768
3_6429_4,4,5,76.22654134807038,19.28448479779179,65.87964236950936,110.60884009903415,0.2529891092622683,5.202190766793083e-4,2.999309657377763e-5,0.05765474185458797
3_6462_4,4,5,95.26814781510551,21.844798636772502,77.88139409635949,132.7808561110259,0.22929803022064044,6.5486278598432e-4,7.805338438204246e-5,0.11919044119253307
3_6470_4,4,5,574.1618607555898,134.7110176394197,451.8426494836413,772.3808899602759,0.23462202359129478,0.003926648133258285,3.470515078688721e-4,0.08838365345990219
3_6548_4,4,5,76.22654134807038,19.28448479779179,65.87964236950936,110.60884009903415,0.2529891092622683,5.202190766793083e-4,2.999309657377763e-5,0.05765474185458797
3_6675_4,4,5,95.26814781510551,21.844798636772502,77.88139409635949,132.7808561110259,0.22929803022064044,6.5486278598432e-4,7.805338438204246e-5,0.11919044119253307
3_6677_4,4,5,656.9967512604984,154.1544102301223,517.0937331993771,883.8713369492432,0.2346349657503866,0.004493125707692209,3.967915550811677e-4,0.08831080652870728
3_6695_4,4,5,120.05633639792117,30.100472043538204,104.12532721593007,173.8022673134655,0.25071956172118715,8.199948949520486e-4,5.3951316392359597e-05,0.065794697899326
3_6727_4,4,5,739.5631551240825,173.51528331320716,582.2255222128023,995.079869539531,0.23461861520683125,0.005057758656459478,4.4558913847488003e-4,0.08810011879586213
3_6756_4,4,5,59.97951964826267,15.026559460818886,51.993391805186455,86.80868554015112,0.25052817276528716,4.096771298219168e-4,2.6962752081916296e-5,0.06581463820945235
