"","Individual","tribs"
"880","183","Kantishna"
"881","184","Andreafsky"
"882","184","Innoko"
"883","184","Nenana"
"884","184","Kantishna"
"885","184","Nowitna"
"886","184","Koyokuk.mouth"
"887","184","Hogatza"
"888","185","Andreafsky"
"889","185","Anvik"
"890","185","Nowitna"
"891","185","Kantishna"
"892","186","Andreafsky"
"893","186","Anvik"
"894","186","Kantishna"
"895","186","Nowitna"
"896","186","Koyokuk.mouth"
"897","186","Hogatza"
"898","187","Andreafsky"
"899","187","Anvik"
"900","187","Nowitna"
"901","188","Andreafsky"
"902","188","Innoko"
"903","188","Kantishna"
"904","188","Nowitna"
"905","188","Koyokuk.mouth"
"906","188","Hogatza"
"907","189","Andreafsky"
"908","189","Anvik"
"909","189","Kantishna"
"910","189","Nowitna"
"911","189","Koyokuk.mouth"
"912","189","Hogatza"
"913","190","Kantishna"
"914","190","Tanana.mouth"
"915","190","Nowitna"
"916","190","Colleen"
"917","191","Andreafsky"
"918","191","Innoko"
"919","191","Kantishna"
"920","191","Nowitna"
"921","191","Koyokuk.mouth"
"922","191","Hogatza"
"923","192","SMS.Yukon.Canada.Tahkini"
"924","192","White"
"925","192","Kluane.Donjek.Tincup"
"926","193","SMS.Yukon.Canada.Tahkini"
"927","193","Andreafsky"
"928","193","White"
"929","193","Nordenskiold"
"930","193","Anvik"
"931","193","Nowitna"
"932","193","Kantishna"
"933","193","Koyokuk.mouth"
"934","194","Andreafsky"
"935","194","Anvik"
"936","194","Kantishna"
"937","194","Nowitna"
"938","194","Koyokuk.mouth"
"939","194","Hogatza"
"940","195",NA
"941","195","Tozitna"
"942","195","Koyokuk.mouth"
"943","195","Kandik"
"944","195","Black.Salmon.Fork"
"945","195","Porcupine.mouth"
"946","195","Chandlar.Teedriinjik"
"947","195","Middle.Fork.Koyokuk"
"948","196","Kantishna"
"949","196","Tanana.mouth"
"950","196","Nowitna"
"951","196","Colleen"
"952","197","Andreafsky"
"953","197","Innoko"
"954","197","Kantishna"
"955","197","Nowitna"
"956","197","Koyokuk.mouth"
"957","197","Hogatza"
"958","198","Andreafsky"
"959","198","Anvik"
"960","198","Nowitna"
"961","199","Andreafsky"
"962","199","Anvik"
"963","199","Nowitna"
"964","199","Kantishna"
"965","200","Nisutlin"
"966","200","Teslin"
"967","200","Nisling"
"968","200","Upper.Yukon.Canada"
"969","200","White"
"970","200","Porcupine.Canada"
"971","201","Stewart"
"972","201","Fortymile"
"973","201","Klondike"
"974","202","SMS.Yukon.Canada.Tahkini"
"975","202","White"
"976","203","Stewart"
"977","203","Klondike"
"978","204","Nisutlin"
"979","204","Teslin"
"980","204","Nisling"
"981","204","Upper.Yukon.Canada"
"982","204","White"
"983","204","Porcupine.Canada"
"984","205","Teslin"
"985","205","Nisling"
"986","205","Upper.Yukon.Canada"
"987","205","White"
"988","205","Fortymile"
"989","206","McQuesten"
"990","207","Macmillan"
"991","208","SMS.Yukon.Canada.Tahkini"
"992","208","Nisling"
"993","208","Upper.Yukon.Canada"
"994","208","Fortymile"
"995","209","Stewart"
"996","209","Macmillan"
"997","209","Klondike"
"998","210","McQuesten"
"999","211","Big.Salmon"
"1000","211","Nisutlin"
"1001","211","Upper.Yukon.Canada"
"1002","211","Fortymile"
"1003","211","Miner"
"1004","211","Fishing.Branch"
"1005","212","Pelly.ab.Macm"
"1006","212","Pelly"
