fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2021_yk_408_R1,471.2661364,646.481937,0.712031226,0.003252301,175.2158006,408,0021-06-28,179
2021_yk_409,638.920215,805.127449,0.727517376,0.001201707,166.2072339,409,0021-06-28,179
2021_yk_410,507.1312631,629.2384475,0.716628447,0.002229928,122.1071845,410,0021-06-28,179
2021_yk_413,434.3770445,513.6090168,0.708003167,0.00121022,79.2319723,413,0021-06-28,179
2021_yk_414,850.1521002,980.9726311,0.713434568,0.002291208,130.8205309,414,0021-06-28,179
2021_yk_415,659.4667496,870.2191631,0.707200795,0.001257572,210.7524135,415,0021-06-28,179
2021_yk_416,493.4825333,649.9294109,0.707835949,0.001924825,156.4468776,416,0021-06-28,179
2021_yk_418,921.0859164,1107.508153,0.709465651,0.002524408,186.422237,418,0021-06-28,179
2021_yk_419,681.456138,860.0427606,0.707568531,0.001586895,178.5866226,419,0021-06-28,179
2021_yk_421,721.8835065,923.5850668,0.712683776,0.003355638,201.7015602,421,0021-06-29,180
2021_yk_425,440.5473511,522.1645678,0.713214712,0.001044562,81.61721667,425,0021-06-29,180
2021_yk_428,526.6358667,750.6238501,0.707847942,9.51E-04,223.9879834,428,0021-06-29,180
2021_yk_431_R1,666.3325909,926.9053086,0.70691989,0.001437017,260.5727177,431,0021-06-29,180
2021_yk_432,590.5474168,730.9464298,0.709041442,0.003444379,140.399013,432,0021-06-30,181
2021_yk_437_R1,774.6952164,937.6660349,0.70646608,0.001294329,162.9708185,437,0021-06-30,181
2021_yk_438,753.9045538,1022.878977,0.7090264,0.003060408,268.9744229,438,0021-06-30,181
2021_yk_439,684.0625052,792.325879,0.736601502,0.001299485,108.2633739,439,0021-06-30,181
2021_yk_440_R1,894.8942259,995.3811092,0.715206079,0.003049081,100.4868833,440,0021-06-30,181
2021_yk_443,900.0491427,994.1104405,0.710862558,0.00220091,94.06129783,443,0021-06-30,181
2021_yk_448_R1,765.2154095,1024.756803,0.708691051,0.002520385,259.5413936,448,0021-06-30,181
2021_yk_450,942.0847773,1221.826269,0.711211845,0.002789622,279.7414917,450,0021-06-30,181
2021_yk_451,430.4268968,583.0542143,0.71014587,0.002153277,152.6273175,451,0021-06-30,181
2021_yk_452,649.6974513,841.0502155,0.710989655,0.00280548,191.3527642,452,0021-06-30,181
2021_yk_455,566.4129077,737.5898719,0.706707336,0.002395398,171.1769642,455,0021-06-30,181
2021_yk_456_R1,585.6328,783.0461755,0.707971145,0.001025475,197.4133756,456,0021-06-30,181
2021_yk_463,417.109071,605.5951987,0.71046968,0.002114632,188.4861277,463,0021-07-01,182
2021_yk_464,487.3815953,741.7719087,0.716630973,0.003096088,254.3903134,464,0021-07-01,182
2021_yk_465,688.6524621,939.9556943,0.711707934,0.003376709,251.3032322,465,0021-07-01,182
