fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date_julian,file.id,capture_date
2017_yk_342,NA,NA,0.70746353,NA,NA,342,171,2017_yukon_king_yk342.exp,6/20/17
2017_yk_343,NA,NA,0.70701881,NA,NA,343,172,2017_yukon_king_yk343.exp,6/21/17
2017_yk_344,NA,NA,0.71058455,NA,NA,344,172,2017_yukon_king_yk344.exp,6/21/17
2017_yk_345,NA,NA,0.70899969,NA,NA,345,172,2017_yukon_king_yk345.exp,6/21/17
2017_yk_346,NA,NA,0.70666027,NA,NA,346,172,2017_yukon_king_yk346.exp,6/21/17
2017_yk_348,NA,NA,0.7090426,NA,NA,348,172,2017_yukon_king_yk348.exp,6/21/17
2017_yk_349,NA,NA,0.72402412,NA,NA,349,172,2017_yukon_king_yk349.exp,6/21/17
2017_yk_350,NA,NA,0.72324933,NA,NA,350,172,2017_yukon_king_yk350.exp,6/21/17
2017_yk_351,NA,NA,0.71463013,NA,NA,351,172,2017_yukon_king_yk351.exp,6/21/17
2017_yk_352,NA,NA,0.70809414,NA,NA,352,172,2017_yukon_king_yk352.exp,6/21/17
2017_yk_355,NA,NA,0.72132884,NA,NA,355,172,2017_yukon_king_yk355.exp,6/21/17
2017_yk_357,NA,NA,0.71066984,NA,NA,357,172,2017_yukon_king_yk357.exp,6/21/17
2017_yk_359,NA,NA,0.71290492,NA,NA,359,172,2017_yukon_king_yk359.exp,6/21/17
2017_yk_360,NA,NA,0.71222341,NA,NA,360,172,2017_yukon_king_yk360.exp,6/21/17
2017_yk_361,NA,NA,0.72273443,NA,NA,361,172,2017_yukon_king_yk361.exp,6/21/17
2017_yk_362,NA,NA,0.7122388,NA,NA,362,172,2017_yukon_king_yk362.exp,6/21/17
2017_yk_364,NA,NA,0.70765746,NA,NA,364,172,2017_yukon_king_yk364.exp,6/21/17
2017_yk_365,NA,NA,0.7064074,NA,NA,365,172,2017_yukon_king_yk365.exp,6/21/17
2017_yk_366,NA,NA,0.70717236000000006,NA,NA,366,173,2017_yukon_king_yk366.exp,6/22/17
2017_yk_367,NA,NA,0.72256006,NA,NA,367,173,2017_yukon_king_yk367.exp,6/22/17
2017_yk_369,NA,NA,0.72410373,NA,NA,369,173,2017_yukon_king_yk369.exp,6/22/17
2017_yk_370,NA,NA,0.70657889,NA,NA,370,173,2017_yukon_king_yk370.exp,6/22/17
2017_yk_371,NA,NA,0.71278048,NA,NA,371,173,2017_yukon_king_yk371.exp,6/22/17
2017_yk_374,NA,NA,0.71592406,NA,NA,374,173,2017_yukon_king_yk374.exp,6/22/17
2017_yk_375,NA,NA,0.70785744,NA,NA,375,173,2017_yukon_king_yk375.exp,6/22/17
