fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian,file.id
,,,0.710037438,,,256,6/13/15,,2015_yukon_chin_yk256_redo.exp
,,,0.725090476,,,303,6/18/15,,2015_yukon_chin_yk303_redo.exp
,,,0.71124667,,,315,6/18/15,,2015_yukon_chin_yk315_redo.exp
,,,0.724779546,,,318,6/18/15,,2015_yukon_chin_yk318_redo.exp
,,,0.722071063,,,339,6/20/15,,2015_yukon_chin_yk339_redo.exp
,,,0.722953073,,,344,6/20/15,,2015_yukon_chin_yk344_redo.exp
,,,0.719319557,,,352,6/21/15,,2015_yukon_chin_yk352_redo.exp
,,,0.716407601,,,355,6/21/15,,2015_yukon_chin_yk355_redo.exp
,,,0.714292436,,,356,6/21/15,,2015_yukon_chin_yk356_redo.exp
,,,0.708123921,,,391,6/25/15,,2015_yukon_chin_yk391_redo.exp
,,,0.723061204,,,421,6/26/15,,2015_yukon_chin_yk421_redo.exp
,,,0.710748489,,,485,6/28/15,,2015_yukon_chin_yk485_redo.exp
,,,0.707605151,,,512,6/29/15,,2015_yukon_chin_yk512_redo.exp
,,,0.724406832,,,516,6/29/15,,2015_yukon_chin_yk516_redo.exp
,,,0.711699417,,,528,6/30/15,,2015_yukon_chin_yk528_redo.exp
,,,0.707566721,,,538,7/1/15,,2015_yukon_chin_yk538_redo.exp
,,,0.705392128,,,560,7/2/15,,2015_yukon_chin_yk560_redo.exp
,,,0.713363137,,,564,7/2/15,,2015_yukon_chin_yk564_redo.exp
,,,0.707381694,,,565,7/2/15,,2015_yukon_chin_yk565_redo.exp
,,,0.706189382,,,570,7/2/15,,2015_yukon_chin_yk570_redo.exp
,,,0.707286458,,,574,7/2/15,,2015_yukon_chin_yk574_redo.exp
,,,0.707310574,,,579,7/2/15,,2015_yukon_chin_yk579_redo.exp
,,,0.707274119,,,604,7/4/15,,2015_yukon_chin_yk604_redo.exp
