reachbase,original_reachid,stream_order,upstream_reachid,tributary_group_id
4,18326,4,18411,4_18326_4
4,18345,4,18345,4_18345_4
4,18353,4,18353,4_18353_4
4,18400,4,18613,4_18400_4
4,18400,4,18692,4_18400_4
4,18400,4,18724,4_18400_4
4,18407,4,18669,4_18407_4
4,18407,4,18809,4_18407_4
4,18407,4,18939,4_18407_4
4,18407,4,19020,4_18407_4
4,18407,4,19255,4_18407_4
4,18407,4,19291,4_18407_4
4,18423,4,18374,4_18423_4
4,18423,4,18351,4_18423_4
4,18450,4,18450,4_18450_4
4,18483,4,18620,4_18483_4
4,18483,4,18644,4_18483_4
4,18526,4,18526,4_18526_4
4,18531,4,18872,4_18531_4
4,18532,4,18588,4_18532_4
4,18551,4,18551,4_18551_4
4,18555,4,18478,4_18555_4
4,18591,4,18689,4_18591_4
4,18793,4,18793,4_18793_4
4,18676,4,18672,4_18676_4
4,18690,4,18742,4_18690_4
4,18690,4,18743,4_18690_4
4,18690,4,18671,4_18690_4
4,18694,4,18694,4_18694_4
4,18710,4,18915,4_18710_4
4,18710,4,18981,4_18710_4
4,18710,4,19054,4_18710_4
4,18734,4,18734,4_18734_4
4,18735,4,18735,4_18735_4
4,18736,4,18599,4_18736_4
4,18750,4,18988,4_18750_4
4,18750,4,19069,4_18750_4
4,18750,4,19186,4_18750_4
4,18751,4,18751,4_18751_4
4,18756,4,18832,4_18756_4
4,18756,4,18878,4_18756_4
4,18756,4,18924,4_18756_4
4,18759,4,18934,4_18759_4
4,18759,4,19087,4_18759_4
4,18759,4,19138,4_18759_4
4,18759,4,19196,4_18759_4
4,18781,4,18719,4_18781_4
4,18792,4,18792,4_18792_4
4,18817,4,18813,4_18817_4
4,18817,4,18790,4_18817_4
4,18840,4,18840,4_18840_4
4,18873,4,18873,4_18873_4
4,18898,4,18963,4_18898_4
4,18898,4,19148,4_18898_4
4,18911,4,18911,4_18911_4
4,18920,4,18920,4_18920_4
4,18975,4,18975,4_18975_4
4,18982,4,18982,4_18982_4
4,19014,4,19014,4_19014_4
4,19016,4,19055,4_19016_4
4,19025,4,19025,4_19025_4
4,19040,4,19040,4_19040_4
4,19071,4,19071,4_19071_4
4,19080,4,19080,4_19080_4
4,19092,4,19092,4_19092_4
4,19096,4,19123,4_19096_4
4,19096,4,19175,4_19096_4
4,19096,4,19280,4_19096_4
4,19129,4,19129,4_19129_4
4,19152,4,19152,4_19152_4
4,19153,4,19182,4_19153_4
4,19170,4,19170,4_19170_4
4,19207,4,19278,4_19207_4
4,19219,4,19429,4_19219_4
4,19219,4,19438,4_19219_4
4,19219,4,19511,4_19219_4
4,19249,4,19095,4_19249_4
4,19258,4,19258,4_19258_4
4,19269,4,19342,4_19269_4
4,19269,4,19385,4_19269_4
4,19269,4,19384,4_19269_4
4,19269,4,19396,4_19269_4
4,19269,4,19460,4_19269_4
4,19275,4,19261,4_19275_4
4,19275,4,19212,4_19275_4
4,19301,4,19301,4_19301_4
4,19307,4,19307,4_19307_4
4,19309,4,18993,4_19309_4
4,19309,4,18985,4_19309_4
4,19357,4,19362,4_19357_4
4,19357,4,19391,4_19357_4
4,19357,4,19436,4_19357_4
4,19373,4,19465,4_19373_4
4,19377,4,19464,4_19377_4
4,19377,4,19515,4_19377_4
4,19381,4,19300,4_19381_4
4,19383,4,19383,4_19383_4
4,19398,4,19422,4_19398_4
4,19398,4,19448,4_19398_4
4,19398,4,19463,4_19398_4
4,19398,4,19480,4_19398_4
4,19398,4,19502,4_19398_4
4,19424,4,19424,4_19424_4
4,19442,4,19442,4_19442_4
4,19449,4,19525,4_19449_4
4,19449,4,19599,4_19449_4
4,19457,4,19457,4_19457_4
4,19497,4,19462,4_19497_4
4,19497,4,19420,4_19497_4
4,19514,4,19643,4_19514_4
4,19514,4,19662,4_19514_4
4,19514,4,19686,4_19514_4
4,19514,4,19706,4_19514_4
4,19518,4,19518,4_19518_4
4,19539,4,19539,4_19539_4
4,19545,4,19413,4_19545_4
4,19546,4,19546,4_19546_4
4,19554,4,19554,4_19554_4
4,19558,4,19558,4_19558_4
4,19569,4,19633,4_19569_4
4,19583,4,19583,4_19583_4
4,19588,4,19631,4_19588_4
4,19588,4,19688,4_19588_4
4,19588,4,19699,4_19588_4
4,19588,4,19749,4_19588_4
4,19588,4,19777,4_19588_4
4,19592,4,19592,4_19592_4
4,19595,4,19595,4_19595_4
4,19611,4,19611,4_19611_4
4,19639,4,19639,4_19639_4
4,19660,4,19660,4_19660_4
4,19663,4,19663,4_19663_4
4,19692,4,19711,4_19692_4
4,19705,4,19712,4_19705_4
4,19705,4,19764,4_19705_4
4,19705,4,19833,4_19705_4
4,19705,4,19870,4_19705_4
4,19705,4,19893,4_19705_4
4,19705,4,19961,4_19705_4
4,19709,4,19727,4_19709_4
4,19709,4,19736,4_19709_4
4,19709,4,19754,4_19709_4
4,19729,4,19729,4_19729_4
4,19745,4,19745,4_19745_4
4,19993,4,20037,4_19993_4
4,19993,4,20048,4_19993_4
4,19757,4,19774,4_19757_4
4,19757,4,19876,4_19757_4
4,19757,4,19896,4_19757_4
4,19772,4,19804,4_19772_4
4,19772,4,19860,4_19772_4
4,19772,4,19851,4_19772_4
4,19772,4,19910,4_19772_4
4,19772,4,19984,4_19772_4
4,19772,4,20060,4_19772_4
4,19775,4,19779,4_19775_4
4,19775,4,19940,4_19775_4
4,19775,4,19975,4_19775_4
4,19775,4,20021,4_19775_4
4,19775,4,20084,4_19775_4
4,19795,4,19795,4_19795_4
4,19797,4,19797,4_19797_4
4,19801,4,19801,4_19801_4
4,19849,4,19947,4_19849_4
4,19858,4,19863,4_19858_4
4,19858,4,19905,4_19858_4
4,19858,4,19894,4_19858_4
4,19858,4,19864,4_19858_4
4,19858,4,19859,4_19858_4
4,19873,4,19903,4_19873_4
4,19873,4,19980,4_19873_4
4,19873,4,19963,4_19873_4
4,19873,4,19938,4_19873_4
4,19886,4,19886,4_19886_4
4,19902,4,20101,4_19902_4
4,19902,4,20204,4_19902_4
4,19902,4,20218,4_19902_4
4,19902,4,20277,4_19902_4
4,19967,4,20126,4_19967_4
4,19977,4,19977,4_19977_4
4,20007,4,20007,4_20007_4
4,20010,4,20029,4_20010_4
4,20023,4,20041,4_20023_4
4,20023,4,20080,4_20023_4
4,20023,4,20107,4_20023_4
4,20027,4,20064,4_20027_4
4,20027,4,20071,4_20027_4
4,20046,4,20046,4_20046_4
